ITEM,QUANTITY,UNIT COST,OVERALL COST,LINK
2020 Linear Rail - 400mm - 10pk x 1m,1,44.24,44.24,https://www.aliexpress.us/item/3256807024011071.html
2040 Linear Rail - 220mm,0,0,0,^^^^^^^^
MGN12H Linear Rail - 300mm,3,19.4,58.2,https://www.amazon.com/IMETRX-MGN12H-Printer-Machine-Upgrade/dp/B09ZPHPB5F/ref=sr_1_3? & https://www.amazon.com/MGN12H-Linear-Carriage-Printer-Machines/dp/B0BYV97TVR/ref=sr_1_4?crid=1W8H7J8XHYZQN&dib=eyJ2IjoiMSJ9.qFqSXUJScZQ4DKGHBxjLGvVLs4m-GcogkWstnQuKb8wPaq9CsVEwhW3mHgpd_emSq1zs4V-llindw8zSps82O74CVoP28fyHeL5kJKl1ifZfiNlWybcp53Q-qBe7-1IbwqScM-3KwqC1hjlgCk2tFecNMSJGMVhC0t6l3UNt2zrTnLjAD4VHX_jgMUnHvlP5n0ALE_lLblIz58ow1NDYlQ3tJ2XleRa7OEJDmCW6CCk.fFXPjLVi9rOFOkMD5clHyAvSHB9pwwNfSbYQdCWRXZI&dib_tag=se&keywords=mgn12h+300mm&qid=1774845804&sprefix=mgn12h+300m%2Caps%2C172&sr=8-4crid=1W8H7J8XHYZQN&dib=eyJ2IjoiMSJ9.qFqSXUJScZQ4DKGHBxjLGvVLs4m-GcogkWstnQuKb8wPaq9CsVEwhW3mHgpd_emSq1zs4V-llindw8zSps82O74CVoP28fyHeL5kJKl1ifZfiNlWybcp53Q-qBe7-1IbwqScM-3KwqC1hjlgCk2tFecNMSJGMVhC0t6l3UNt2zrTnLjAD4VHX_jgMUnHvlP5n0ALE_lLblIz58ow1NDYlQ3tJ2XleRa7OEJDmCW6CCk.fFXPjLVi9rOFOkMD5clHyAvSHB9pwwNfSbYQdCWRXZI&dib_tag=se&keywords=mgn12h+300mm&qid=1774845804&sprefix=mgn12h+300m%2Caps%2C172&sr=8-3
608RS Bearing 50pk,1,12.99,12.99,https://a.co/d/0gQipuau
BTT SKR Pico,1,34.16,34.16,https://biqu.equipment/products/btt-skr-pico-v1-0?variant=40722165334114
Peopoly Lancer Standardx,1,46.99,46.99,https://peopoly.net/products/magneto-x-lancer-melt-zone
LDO Orbiter 2.5,1,59.99,59.99,https://www.filastruder.com/products/ldo-orbiter-v2-v2-5-standard-mirrored-copy
LDO Orbitool,1,40.99,40.99,https://www.filastruder.com/products/ldo-orbiter-v2-smart-toolboard-orbitool-o2s
F695ZZ Bearing 10pk,1,11.41,11.41,https://www.aliexpress.us/item/3256806636423980.html?
NEMA 17 Stepper Motor,3,23.86,71.58,https://www.omc-stepperonline.com/3pcs-nema-17-bipolar-45ncm-63-74oz-in-1-5a-42x42x39mm-4-wires-w-1m-pin-connector-3-17hs15-1504s-x1
Plates,4,0,0,"made by me, acrylic / polycarb"
Flex Heater,1,9.56,9.56,JLC
